Suburb,Rooms,Type,Method,SellerG,Regionname,Propertycount,Distance,CouncilArea,Bedroom2,Bathroom,Car,Landsize,BuildingArea,Price
Richmond,2,u,PI,RayWhite,Western Metro,3321,17.96,Yarra,5,2,2,522.39,368.61,1094020.107
Burwood,3,t,S,BarryPlant,Western Metro,1495,8.72,Yarra,1,3,0,495.69,440.81,1030856.558
Burwood,2,t,S,BigginScott,Southern Metro,3148,1.91,Monash,5,3,2,501.66,222.56,966050.2888
Burwood,3,t,PI,RayWhite,Western Metro,1556,4.46,Yarra,2,3,0,469.83,191.04,860714.0285
Docklands,5,h,VB,JellisCraig,Northern Metro,2552,19.05,Monash,2,3,0,584.73,221.26,1027513.618
Richmond,5,t,S,RayWhite,Southern Metro,3120,28.1,Boroondara,4,2,2,325.4,58.35,857099.9755
Docklands,1,h,S,RayWhite,Southern Metro,4085,6.99,Yarra,5,3,1,901.95,376.12,1091983.208
Burwood,3,u,SP,BigginScott,Northern Metro,4504,22.32,Melbourne,3,1,1,399.78,207.4,821350.8347
Richmond,4,t,VB,BigginScott,Southern Metro,1156,26.13,Boroondara,4,3,1,232.77,191,997893.3989
Docklands,1,u,S,BigginScott,Southern Metro,9926,16.11,Melbourne,5,1,0,186.9,319.16,748996.2248
Docklands,3,u,SP,BarryPlant,Southern Metro,8505,20.41,Melbourne,1,3,3,112.08,246.31,859645.5638
Burwood,3,t,VB,BarryPlant,Southern Metro,8162,24.64,Melbourne,1,1,0,480.57,491.38,935610.5321
Richmond,1,h,PI,RayWhite,Northern Metro,6523,8.56,Boroondara,2,1,3,268.85,210.31,610008.7054
Burwood,5,t,PI,BigginScott,Northern Metro,8543,9.61,Boroondara,3,3,3,119.48,326.25,1154802.168
Richmond,3,u,SP,RayWhite,Southern Metro,9055,1.02,Yarra,1,3,1,568.02,190.24,813611.9831
Carlton,5,u,PI,JellisCraig,Southern Metro,5654,28.93,Melbourne,5,3,3,711.98,495.77,1574736.879
Clayton,1,t,S,JellisCraig,Northern Metro,7250,27.61,Monash,5,1,0,177.18,250.3,664979.201
Clayton,5,h,VB,BigginScott,Northern Metro,8246,23.17,Yarra,1,2,0,514.83,335.36,1072446.698
Clayton,2,h,S,BigginScott,Northern Metro,1154,3.29,Boroondara,5,2,1,769.27,107.02,917472.4437
Burwood,4,u,S,JellisCraig,Southern Metro,8950,13.98,Monash,5,3,2,987.23,379.86,1444709.308
Carlton,3,u,PI,BigginScott,Southern Metro,1996,3.95,Boroondara,2,2,0,700.47,171.14,805675.7738
Richmond,4,h,S,BarryPlant,Western Metro,5626,1.46,Monash,3,2,3,320.36,251.88,1004849.106
Docklands,5,t,PI,BarryPlant,Northern Metro,3905,18.87,Yarra,2,3,0,744.9,447.41,1268292.442
Richmond,3,u,VB,BigginScott,Southern Metro,1153,28.86,Monash,3,1,0,638.14,486.75,1129909.873
Docklands,5,h,VB,JellisCraig,Northern Metro,8853,27.18,Yarra,5,3,0,290.62,241.06,1236334.774
Richmond,2,u,S,RayWhite,Southern Metro,7481,21.21,Boroondara,3,2,2,866,425.66,1120261.836
Carlton,1,t,SP,BigginScott,Northern Metro,6599,3.8,Monash,5,1,3,484.66,74.01,660565.242
Docklands,3,h,PI,BigginScott,Southern Metro,2716,8.95,Melbourne,5,2,1,965.78,431.41,1402372.087
Burwood,2,u,PI,RayWhite,Western Metro,1786,10.28,Melbourne,2,1,0,750.61,333.28,916196.6671
Richmond,2,t,S,BigginScott,Western Metro,5368,23.13,Boroondara,2,2,3,680.11,269.92,917044.9541
Richmond,3,u,PI,RayWhite,Northern Metro,9096,24.27,Monash,4,3,3,755.52,450.48,1354209.574
Docklands,5,t,PI,JellisCraig,Southern Metro,5272,12.17,Melbourne,1,2,1,530.29,430.4,1117709.121
Burwood,2,t,SP,BarryPlant,Southern Metro,4767,13.12,Yarra,4,2,0,554.7,183.63,854597.641
Burwood,4,h,SP,JellisCraig,Northern Metro,9834,2.29,Monash,4,1,2,866.09,406.17,1218828.249
Carlton,2,t,S,BarryPlant,Southern Metro,6994,9.38,Monash,3,2,3,712.84,94.77,695362.7564
Burwood,5,u,SP,RayWhite,Northern Metro,8216,14.09,Melbourne,5,3,1,907.52,420.24,1592901.153
Burwood,5,t,S,BarryPlant,Southern Metro,9857,4.39,Yarra,5,3,2,901.74,353.96,1513831.315
Burwood,4,t,VB,JellisCraig,Northern Metro,4426,14.14,Yarra,5,3,3,978.84,89.54,1237178.785
Clayton,2,h,S,BarryPlant,Southern Metro,4783,25.74,Yarra,1,1,0,730.19,357.39,809621.5173
Carlton,5,t,VB,RayWhite,Northern Metro,6427,17.86,Monash,3,1,3,552.07,311.23,1170169.198
Richmond,3,t,S,BarryPlant,Southern Metro,8011,3.29,Boroondara,3,2,2,249.68,317.55,920500.6051
Docklands,1,u,PI,BigginScott,Western Metro,9052,6.56,Monash,5,2,2,734.84,180.89,874979.8674
Richmond,1,h,SP,JellisCraig,Southern Metro,4701,14.76,Monash,4,2,0,362.42,169.92,727333.7062
Carlton,1,h,VB,BigginScott,Northern Metro,3349,11.48,Melbourne,1,1,0,354.65,393.14,682045.4353
Docklands,2,h,S,RayWhite,Western Metro,8011,11.4,Boroondara,4,1,1,314.46,165.57,665088.7104
Carlton,4,t,SP,BarryPlant,Southern Metro,8055,16.35,Yarra,2,2,0,887.61,250.82,988827.0789
Burwood,5,h,S,BigginScott,Western Metro,2212,17.95,Melbourne,3,1,1,881.17,362.66,1275045.469
Docklands,3,t,SP,BigginScott,Southern Metro,7965,24.11,Monash,3,1,2,667.87,85.83,829164.8084
Burwood,3,t,SP,BarryPlant,Western Metro,7704,10.89,Boroondara,4,3,2,525.68,317.55,1096097.58
Richmond,2,u,S,BarryPlant,Northern Metro,8433,24.36,Yarra,1,3,3,704.9,315.22,1011138.947
Richmond,1,u,VB,JellisCraig,Southern Metro,3511,10.82,Yarra,3,2,3,646.51,357.9,914714.0676
Docklands,2,u,VB,BigginScott,Southern Metro,1143,2.61,Monash,4,2,1,474.16,216.47,896183.1152
Docklands,4,u,PI,BigginScott,Northern Metro,8367,17.07,Yarra,1,3,0,441.67,252.04,936186.7232
Carlton,4,u,SP,RayWhite,Western Metro,4228,18.05,Yarra,4,1,0,444.51,198.49,925234.8086
Carlton,5,t,PI,JellisCraig,Northern Metro,5582,28.1,Boroondara,1,2,3,630.22,413.68,1197875.483
Burwood,5,t,PI,RayWhite,Northern Metro,7031,22.06,Melbourne,5,2,2,682.9,108.77,1141517.543
Docklands,4,h,S,BigginScott,Western Metro,5243,27.62,Boroondara,1,2,1,506.57,483.33,1115416.638
Richmond,4,t,S,RayWhite,Northern Metro,3713,27.34,Melbourne,2,1,2,971.82,335.68,1126542.325
Carlton,4,t,S,BigginScott,Southern Metro,5185,18.53,Melbourne,5,3,2,175.46,449.11,1215866.618
Carlton,2,u,SP,BigginScott,Southern Metro,8328,16.31,Melbourne,4,2,0,412.34,241.8,806894.392
Richmond,4,t,S,RayWhite,Southern Metro,5633,17.17,Yarra,5,3,1,477.17,199.53,1086406.235
Carlton,3,u,S,RayWhite,Northern Metro,4192,29.37,Boroondara,5,3,2,115.23,455.33,1215539.476
Burwood,1,h,SP,BarryPlant,Southern Metro,1300,23.42,Yarra,4,1,3,428.46,94.49,652810.7888
Docklands,4,h,SP,BarryPlant,Southern Metro,1723,4.08,Monash,4,1,3,346.34,102.7,816205.4112
Richmond,1,t,VB,BarryPlant,Southern Metro,6694,23.57,Boroondara,2,1,0,555.43,184.71,583116.7731
Docklands,2,h,S,BigginScott,Southern Metro,4010,5.95,Melbourne,4,1,3,402.77,481.9,1167050.263
Carlton,1,t,S,RayWhite,Southern Metro,6555,13.97,Yarra,3,1,3,753.56,334.88,917503.4282
Carlton,2,h,S,JellisCraig,Southern Metro,1067,7.1,Yarra,3,1,2,558.94,299.39,850227.3778
Richmond,3,u,VB,BigginScott,Northern Metro,3506,21,Boroondara,2,2,3,216.79,367.41,868464.562
Burwood,2,u,S,JellisCraig,Southern Metro,2537,26.44,Boroondara,1,3,3,775.06,237.86,877681.8743
Clayton,2,u,VB,RayWhite,Southern Metro,1397,9.42,Melbourne,1,1,2,189.31,391.13,713279.5191
Richmond,5,u,PI,BigginScott,Western Metro,6680,3.38,Melbourne,3,2,0,855.14,226.95,1252385.686
Clayton,4,t,VB,JellisCraig,Northern Metro,5825,9.66,Monash,4,3,0,938.28,421.86,1360921.124
Clayton,4,h,PI,JellisCraig,Northern Metro,9747,20.5,Melbourne,2,1,1,390.2,170.28,789892.1464
Burwood,3,t,S,BarryPlant,Northern Metro,7048,10.53,Yarra,1,1,3,933.53,174.9,883496.8779
Clayton,3,u,PI,BarryPlant,Northern Metro,4661,9.07,Monash,1,2,2,813.71,285.07,1034509.246
Clayton,4,t,VB,BarryPlant,Southern Metro,3941,6.35,Monash,5,3,1,930.19,243.84,1293298.212
Burwood,5,h,SP,BigginScott,Southern Metro,8067,15.43,Monash,3,1,0,699.64,341.65,1136026.275
Clayton,4,t,PI,RayWhite,Western Metro,6091,9,Boroondara,4,3,0,312.08,213.93,978727.1724
Clayton,5,h,PI,RayWhite,Western Metro,2601,22.2,Melbourne,2,2,2,905.07,153.75,1103090
Clayton,3,t,S,BarryPlant,Northern Metro,2480,3.22,Monash,1,1,1,265.84,261.41,676945.0271
Richmond,1,h,VB,BarryPlant,Western Metro,7230,20.26,Boroondara,5,3,1,291.75,302.43,864745.9429
Richmond,3,h,PI,BarryPlant,Western Metro,4276,7.89,Boroondara,3,2,2,343.96,114.17,741832.7839
Richmond,3,u,PI,JellisCraig,Northern Metro,7447,15.19,Monash,3,2,2,373.82,300.52,896441.7829
Burwood,2,h,PI,BarryPlant,Northern Metro,6499,9.3,Monash,2,1,1,563.03,193.67,795109.8292
Carlton,2,u,PI,JellisCraig,Western Metro,7273,21.96,Yarra,1,3,0,742.11,226.6,869060.6355
Clayton,2,u,SP,RayWhite,Southern Metro,2299,28.41,Monash,2,1,3,933.59,175.69,916809.1922
Clayton,2,u,VB,BigginScott,Western Metro,6818,27.6,Yarra,2,1,0,179.59,469.13,867278.8018
Burwood,5,t,S,BigginScott,Western Metro,7701,17.92,Monash,5,3,2,958.93,357.5,1591408.652
Clayton,4,t,S,BigginScott,Southern Metro,5994,14.42,Monash,3,3,1,929.19,168.11,1135240.233
Richmond,1,t,SP,BigginScott,Southern Metro,8489,24.73,Melbourne,4,3,1,148.6,340.26,901149.066
Carlton,3,t,VB,JellisCraig,Northern Metro,9269,20.82,Monash,3,2,3,424.29,431.86,1022461.049
Docklands,5,h,PI,JellisCraig,Northern Metro,3831,6.32,Monash,3,2,1,831.83,230.73,1124562.52
Clayton,1,h,SP,BarryPlant,Western Metro,3721,24.81,Yarra,5,3,3,650.42,423.48,1190452.389
Richmond,5,t,VB,JellisCraig,Southern Metro,2532,13.44,Yarra,4,2,0,801.18,119.49,1082903.388
Docklands,5,h,PI,BarryPlant,Northern Metro,9429,6.48,Melbourne,1,1,0,747.13,420.25,1150569.949
Carlton,3,h,SP,BarryPlant,Western Metro,6253,9.17,Monash,4,3,1,547.09,293.13,1119906.764
Docklands,4,u,VB,BigginScott,Southern Metro,2996,8.76,Monash,1,1,1,137.1,150.34,666180.1469
Richmond,2,u,S,JellisCraig,Western Metro,6311,16.06,Yarra,4,3,2,625.84,233.21,1044217.791
Docklands,4,u,S,JellisCraig,Northern Metro,1277,7.8,Boroondara,2,1,2,143.71,494.6,1091162.676
Burwood,3,u,VB,BarryPlant,Northern Metro,4089,4.58,Boroondara,4,3,1,643.35,402.6,1295809.37
Docklands,3,h,S,BarryPlant,Southern Metro,1523,4.59,Boroondara,5,1,1,820.37,308.79,1185512.681
Clayton,3,t,VB,RayWhite,Western Metro,5275,17.92,Yarra,1,3,0,626.49,101.82,768500.2224
Clayton,1,h,PI,RayWhite,Southern Metro,6365,22.31,Yarra,3,3,1,997.32,238.02,1071298.439
Burwood,4,h,VB,BarryPlant,Northern Metro,4122,10.32,Boroondara,5,2,2,510.28,168.37,1119420.527
Richmond,4,h,PI,RayWhite,Northern Metro,9167,2,Boroondara,1,1,0,773.94,81.95,703784.4548
Clayton,5,u,SP,RayWhite,Western Metro,6190,4.69,Monash,1,2,3,700.49,293.99,1153767.167
Carlton,5,u,VB,BarryPlant,Western Metro,5575,27.53,Yarra,3,1,2,992.29,450.13,1305686.093
Clayton,5,u,SP,BarryPlant,Western Metro,8727,15.31,Yarra,2,2,2,741.9,354.02,1152880.086
Clayton,3,t,S,JellisCraig,Southern Metro,2797,14.15,Boroondara,5,3,0,247.63,162.36,881674.2835
Richmond,4,h,PI,BarryPlant,Western Metro,3131,2.1,Boroondara,3,2,3,959.97,308.11,1202328.754
Docklands,3,t,VB,BarryPlant,Western Metro,8322,22.13,Melbourne,3,2,2,701,474.46,1210092.852
Clayton,1,u,SP,BigginScott,Northern Metro,7500,16.31,Yarra,2,3,1,153.4,375.31,817754.6931
Burwood,5,t,PI,JellisCraig,Northern Metro,1815,6.86,Melbourne,5,2,2,691.81,360.26,1439067.515
Docklands,3,h,PI,JellisCraig,Western Metro,9634,4.19,Monash,3,3,0,894.81,485.67,1382700.597
Carlton,3,h,S,JellisCraig,Western Metro,7666,12.12,Melbourne,2,1,0,619.34,409.49,1015951.687
Richmond,1,u,S,BigginScott,Northern Metro,1142,25.28,Boroondara,5,2,0,418.62,111.48,632710.029
Carlton,2,u,PI,BarryPlant,Western Metro,2410,26.09,Yarra,4,3,2,838.82,206.44,1010216.594
Docklands,4,t,PI,JellisCraig,Southern Metro,1534,18.48,Yarra,1,3,3,804.26,484.31,1367447.166
Docklands,2,u,VB,JellisCraig,Southern Metro,4364,22.1,Melbourne,2,2,1,589.76,270.37,805992.1749
Docklands,5,u,PI,RayWhite,Southern Metro,2032,4.34,Melbourne,1,1,0,238.93,100.24,618573.1631
Carlton,3,h,VB,JellisCraig,Western Metro,4342,18.06,Monash,4,2,3,325.89,256.37,998752.8563
Docklands,1,u,PI,BarryPlant,Northern Metro,7085,20.34,Monash,3,3,1,764.64,363.65,1020623.868
Carlton,1,u,S,BarryPlant,Western Metro,5500,6.82,Boroondara,3,1,0,825.47,498.9,1025995.048
Docklands,4,h,VB,RayWhite,Western Metro,2172,26.52,Boroondara,5,2,1,351.34,195.76,1066652.097
Burwood,2,h,SP,JellisCraig,Northern Metro,5517,6.65,Boroondara,2,3,1,431.19,281.34,925137.4042
Docklands,4,t,S,JellisCraig,Northern Metro,9007,10.09,Melbourne,2,2,3,169.87,445.86,1185876.9
Carlton,3,u,VB,JellisCraig,Northern Metro,2641,19,Melbourne,5,1,1,742.12,209.87,969935.4105
Clayton,4,h,VB,BigginScott,Southern Metro,1471,19.51,Yarra,1,1,0,103.22,99.17,581622.679
Docklands,1,t,SP,JellisCraig,Western Metro,3940,21.28,Boroondara,3,1,3,141.89,477.02,870537.4235
Clayton,1,t,VB,BarryPlant,Northern Metro,9738,4.25,Melbourne,3,1,2,103.91,269.8,647888.7916
Burwood,5,u,PI,BarryPlant,Western Metro,5726,25.63,Yarra,2,1,2,680.79,276.25,1023767.941
Richmond,5,u,SP,BigginScott,Southern Metro,8670,16.45,Boroondara,2,2,3,475.65,329.54,1082111.333
Burwood,3,t,S,BigginScott,Southern Metro,4723,14.67,Monash,5,1,2,367.79,51.59,749916.1932
Docklands,2,h,S,JellisCraig,Northern Metro,1363,29.45,Monash,4,1,1,921.43,469.01,1143313.371
Clayton,4,t,PI,RayWhite,Northern Metro,4309,22.47,Melbourne,1,3,0,273.52,212.65,891616.381
Clayton,3,u,S,BigginScott,Western Metro,1545,4.42,Yarra,4,1,1,450.43,228.62,808715.1316
Carlton,5,h,VB,BigginScott,Northern Metro,4240,22.94,Monash,4,3,3,946.28,128.35,1181323.956
Clayton,4,h,VB,JellisCraig,Western Metro,7665,3.76,Yarra,2,3,0,484.4,220.17,944656.8762
Carlton,5,t,PI,JellisCraig,Northern Metro,2936,1.8,Yarra,2,3,3,599.22,411.77,1254632.25
Richmond,4,u,S,BigginScott,Western Metro,1882,12.71,Monash,2,2,3,172.3,410,1145490.157
Docklands,2,t,S,RayWhite,Western Metro,4840,29.81,Yarra,4,2,3,811.15,471.11,1245309.131
Carlton,3,t,PI,BigginScott,Western Metro,7923,6.07,Monash,1,3,1,480.48,231.45,835453.9647
Richmond,4,t,SP,JellisCraig,Western Metro,5611,20.51,Melbourne,2,2,0,820.46,368.92,1178456.201
Clayton,1,h,S,JellisCraig,Southern Metro,6204,6.03,Boroondara,3,1,0,328.42,278.26,710978.4268
Clayton,1,h,SP,BigginScott,Western Metro,8288,22.02,Boroondara,1,2,0,480.23,411.81,816226.9451
Richmond,4,u,S,RayWhite,Northern Metro,4203,15.66,Melbourne,3,1,1,807.89,370.64,1159602.425
Clayton,4,u,S,BigginScott,Southern Metro,3244,20.72,Monash,1,1,2,976.49,215.56,929333.3538
Richmond,4,t,S,BigginScott,Southern Metro,1018,6.88,Monash,2,2,1,153.66,201.5,839143.4659
Carlton,1,t,S,JellisCraig,Western Metro,1641,22.62,Monash,5,2,1,831.21,163.6,953798.1545
Carlton,1,t,VB,RayWhite,Southern Metro,4083,29.87,Monash,2,3,3,370.62,309.43,829630.0123
Richmond,4,u,SP,BarryPlant,Western Metro,6200,20.3,Melbourne,4,2,0,595.67,483.73,1259991.725
Carlton,5,h,SP,RayWhite,Northern Metro,9521,15.31,Boroondara,4,2,0,361.08,140.03,977428.7884
Carlton,5,h,S,BigginScott,Western Metro,1865,27.77,Yarra,1,2,2,652.1,92.86,898622.4947
Carlton,2,t,S,BigginScott,Southern Metro,1773,1.46,Yarra,4,1,2,418.42,103.73,628438.3809
Burwood,3,t,SP,BigginScott,Northern Metro,5732,22.17,Boroondara,2,1,3,400.25,402.39,957330.565
Docklands,5,t,VB,RayWhite,Western Metro,4518,26.77,Melbourne,3,1,0,134.14,207.55,947216.2884
Clayton,1,t,PI,JellisCraig,Northern Metro,7795,2.79,Yarra,2,3,2,232.26,150.97,553270.2566
Burwood,5,u,PI,BigginScott,Northern Metro,7984,14.05,Boroondara,1,3,2,925.37,208.78,1121859.982
Carlton,2,h,SP,BigginScott,Southern Metro,3567,6.94,Melbourne,4,3,0,998.45,340.4,1132499.331
Richmond,2,t,S,RayWhite,Northern Metro,2674,17.43,Yarra,3,1,1,802.47,296.05,883776.0079
Carlton,3,u,S,BarryPlant,Southern Metro,1739,19.84,Monash,5,2,2,358.13,384.62,1119785.18
Docklands,5,t,VB,BarryPlant,Northern Metro,2545,9.78,Monash,3,3,0,462.2,202.58,1093659.105
Carlton,1,t,PI,JellisCraig,Western Metro,6127,14.34,Melbourne,3,3,2,765.55,253.41,998503.1265
Richmond,1,h,VB,JellisCraig,Northern Metro,7947,9.1,Monash,2,1,3,971.66,95.89,697554.0797
Docklands,4,t,PI,BigginScott,Western Metro,7620,11.71,Melbourne,5,3,2,509.92,82.88,991636.9089
Carlton,1,h,SP,RayWhite,Western Metro,5555,5.63,Boroondara,1,2,0,846.57,258.01,838976.7573
Docklands,3,h,PI,BigginScott,Northern Metro,6645,26.68,Boroondara,1,1,2,977.56,185.72,765559.8239
Clayton,3,h,VB,JellisCraig,Western Metro,9943,1.29,Yarra,3,1,3,886.13,325.76,1135272.908
Clayton,1,u,VB,RayWhite,Northern Metro,8124,26.59,Melbourne,3,2,3,304.43,69.35,519341.069
Carlton,1,u,VB,RayWhite,Northern Metro,4732,17.58,Yarra,4,2,2,107.23,104.79,574412.8411
Docklands,4,h,SP,JellisCraig,Western Metro,3283,10.62,Yarra,5,2,2,542.87,439.34,1360355.996
Richmond,1,t,PI,BarryPlant,Western Metro,9669,21.97,Boroondara,3,3,3,578.22,304.84,868037.1945
Carlton,4,h,PI,BarryPlant,Southern Metro,7998,15.72,Yarra,4,2,3,281.13,370.42,1161841.691
Clayton,4,t,VB,RayWhite,Western Metro,6413,15.47,Monash,5,1,1,356.21,428.89,1196676.853
Clayton,1,h,PI,BigginScott,Southern Metro,2269,4.19,Yarra,1,2,1,788.64,258.73,838438.8841
Carlton,2,t,S,BarryPlant,Western Metro,8868,12.3,Melbourne,4,1,3,523.31,392.48,1165230.466
Docklands,2,u,S,BigginScott,Northern Metro,3603,7.99,Monash,5,1,2,385.62,286.06,834097.5097
Clayton,4,t,S,BarryPlant,Western Metro,6961,1.46,Boroondara,4,3,0,660.36,150.24,1119205.684
Docklands,1,h,PI,BarryPlant,Northern Metro,9569,11.44,Melbourne,3,2,2,687.48,201.95,796299.9883
Clayton,2,u,SP,BigginScott,Northern Metro,8557,3.6,Monash,2,3,2,792.46,270.66,947969.438
Clayton,1,t,SP,JellisCraig,Northern Metro,2680,8.45,Melbourne,1,2,1,241.04,192.6,553364.6585
Burwood,1,t,SP,BarryPlant,Southern Metro,9433,3.68,Monash,3,2,1,767.37,200.99,736086.4302
Clayton,1,t,SP,BarryPlant,Western Metro,6682,3.93,Melbourne,3,2,1,639.49,201.83,701546.3683
Richmond,5,t,S,BigginScott,Northern Metro,9084,6.77,Melbourne,5,2,3,151.81,105.28,894065.0681
Carlton,1,t,S,JellisCraig,Northern Metro,6367,30,Monash,4,2,3,799.7,88.09,815304.4505
Carlton,5,u,VB,BarryPlant,Southern Metro,1069,1.06,Boroondara,1,1,2,444.77,70.92,770701.5913
Docklands,4,u,PI,BarryPlant,Western Metro,4924,19.52,Boroondara,3,1,2,397.34,99.93,748412.8152
Clayton,2,u,PI,JellisCraig,Western Metro,7200,5.1,Melbourne,5,2,0,503.27,204.67,961831.0907
Richmond,2,u,SP,BarryPlant,Southern Metro,3007,27.7,Melbourne,1,1,2,411.56,317.24,717560.2155
Docklands,2,h,S,JellisCraig,Southern Metro,9992,3.72,Boroondara,4,3,2,404.46,134.67,900157.4797
Burwood,2,u,SP,JellisCraig,Western Metro,9119,28.7,Boroondara,3,3,1,827.27,449.6,1213885.044
Docklands,2,t,VB,BigginScott,Southern Metro,3779,18.72,Yarra,3,3,1,212.05,413.77,953566.5838
Docklands,2,t,PI,RayWhite,Western Metro,5920,1.04,Boroondara,3,2,1,973.54,284.24,1020552.93
Clayton,2,u,PI,JellisCraig,Western Metro,1755,26.93,Melbourne,1,2,1,599.44,375.89,843034.8731
Burwood,4,t,SP,BigginScott,Northern Metro,7495,16.13,Monash,1,1,1,264.63,214.85,755075.6682
Docklands,1,u,VB,RayWhite,Northern Metro,6935,8.62,Boroondara,1,1,0,218.09,66.55,323504.504
Richmond,3,t,PI,BarryPlant,Western Metro,3330,23.25,Yarra,1,1,0,632.36,456.95,1023030.373
Richmond,5,h,VB,RayWhite,Western Metro,6705,27.87,Yarra,5,3,0,669.7,107.51,1182377.62
Carlton,3,h,VB,JellisCraig,Western Metro,9301,15.03,Yarra,2,3,1,147.72,476.57,1066666.789
Burwood,3,u,SP,JellisCraig,Western Metro,2016,10.15,Monash,5,3,3,318.7,307.35,1059143.917
Burwood,1,u,S,JellisCraig,Western Metro,8347,23.88,Boroondara,3,3,1,815.92,187.5,908894.1666
Carlton,1,u,SP,JellisCraig,Western Metro,9216,20.77,Boroondara,5,1,1,144.66,272.99,727121.1983
Docklands,1,t,S,JellisCraig,Southern Metro,5938,26.77,Boroondara,4,2,0,869.58,275.73,841900.8694
Burwood,2,u,VB,BigginScott,Western Metro,3838,21.08,Monash,1,2,1,692.35,60.48,633665.7402
Richmond,4,h,S,JellisCraig,Southern Metro,1737,8.06,Monash,4,3,0,490.98,209.96,1076510.199
Richmond,2,t,VB,BigginScott,Southern Metro,7200,28.02,Melbourne,4,2,1,411.79,382.94,988553.018
Clayton,4,u,PI,BarryPlant,Western Metro,9371,4.04,Yarra,3,2,2,117.32,279.53,934834.1572
Burwood,4,t,PI,JellisCraig,Western Metro,1231,8.77,Yarra,1,2,3,842.69,159.9,932943.7444
Docklands,3,t,PI,JellisCraig,Southern Metro,2917,16.09,Boroondara,4,3,3,228.45,200.8,970141.334
Carlton,3,u,SP,RayWhite,Southern Metro,9534,17.41,Monash,3,1,0,378.59,438.37,1008946.569
Carlton,4,t,SP,BarryPlant,Western Metro,6918,1.44,Monash,1,1,2,612.2,286.5,894748.565
Docklands,4,h,VB,JellisCraig,Western Metro,3623,23.64,Boroondara,2,2,3,321.39,287.76,1065075.529
Clayton,2,h,PI,JellisCraig,Southern Metro,9646,11.49,Boroondara,3,1,0,547.43,482.66,983598.8465
Carlton,2,t,SP,BarryPlant,Southern Metro,7401,12.79,Melbourne,5,1,1,828.41,194.4,797597.0771
Burwood,3,u,PI,BigginScott,Southern Metro,8072,24.47,Yarra,1,3,1,523.48,265.79,889300.2882
Clayton,1,t,SP,JellisCraig,Northern Metro,3276,12,Yarra,4,3,2,954.08,415.27,1253040.878
Burwood,4,h,S,RayWhite,Southern Metro,8393,2.37,Yarra,4,2,3,862.75,391.51,1340008.398
Richmond,2,t,S,JellisCraig,Northern Metro,9787,6.12,Melbourne,5,2,1,399.74,169.61,757793.0111
Clayton,3,t,PI,RayWhite,Western Metro,4874,28.72,Boroondara,5,2,0,459.97,117.99,814576.4278
Carlton,2,h,VB,RayWhite,Western Metro,5530,3.04,Boroondara,4,3,1,480.99,365.32,1015567.679
Clayton,4,t,SP,JellisCraig,Southern Metro,8164,11.29,Yarra,1,1,1,663.56,165.95,786253.6877
Clayton,4,t,SP,JellisCraig,Western Metro,5497,15.59,Yarra,3,3,3,358.12,465.2,1269550.751
Clayton,5,u,S,RayWhite,Western Metro,8933,15.31,Melbourne,5,3,3,972.32,108.16,1314548.73
Clayton,1,u,S,BarryPlant,Western Metro,3135,1.11,Monash,5,1,0,647.82,193.24,784007.9352
Burwood,5,h,VB,BarryPlant,Western Metro,7727,15.53,Monash,5,1,2,459.46,74.65,971308.1891
Richmond,3,h,VB,JellisCraig,Northern Metro,2565,12.13,Yarra,2,2,2,680.51,366.49,1159610.656
Docklands,2,h,VB,BigginScott,Northern Metro,1308,29.19,Melbourne,1,1,1,455.86,451.07,920869.467
Clayton,3,u,PI,BarryPlant,Southern Metro,9534,5.62,Yarra,1,1,0,836.02,336.14,975586.2332
Carlton,4,h,S,JellisCraig,Southern Metro,9627,11.27,Monash,1,1,2,611.06,471.99,1034649.903
Clayton,5,h,PI,BarryPlant,Southern Metro,9368,13.16,Yarra,1,1,2,137.77,107.83,661570.7201
Carlton,5,h,S,BigginScott,Western Metro,1138,12.33,Monash,1,2,1,259.08,89.48,677352.8002
Burwood,5,u,S,JellisCraig,Western Metro,1193,20.31,Monash,4,2,0,878.49,427.29,1372384.36
Carlton,3,t,SP,BigginScott,Northern Metro,4257,7.25,Monash,5,1,2,606.61,434.98,1246706.336
Docklands,4,h,S,JellisCraig,Northern Metro,4235,7.41,Boroondara,4,1,3,955.31,423.97,1330921.572
Richmond,2,t,S,BigginScott,Southern Metro,1942,22.15,Boroondara,2,2,3,165.18,409.53,952706.0798
Carlton,2,h,PI,BarryPlant,Northern Metro,5620,15.51,Yarra,3,2,1,365.73,213,807375.7601
Carlton,3,t,S,BarryPlant,Northern Metro,6720,13.04,Monash,5,1,1,274.19,147.86,802639.6387
Richmond,5,u,PI,BigginScott,Northern Metro,7353,5.91,Boroondara,2,3,1,598.46,467.96,1402300.32
Docklands,1,u,VB,BigginScott,Northern Metro,5957,6.44,Yarra,4,2,1,444.51,188.15,809723.8005
Clayton,3,h,S,BigginScott,Northern Metro,4381,1.31,Yarra,3,2,2,241.55,229.28,874464.3635
Carlton,3,t,S,JellisCraig,Southern Metro,6839,3.65,Yarra,2,2,0,678.48,364.8,1039842.356
Richmond,4,u,PI,BarryPlant,Southern Metro,3880,17.15,Yarra,3,1,1,582.67,182.01,938479.4405
Burwood,2,h,VB,JellisCraig,Northern Metro,5887,26.86,Yarra,2,1,1,347.26,418.61,792458.6656
